,color,codigo,RGB,R,G,B
231,PMS 2562,#d8a8d8,"(216, 168, 216)",216,168,216
232,PMS 2572,#c687d1,"(198, 135, 209)",198,135,209
233,PMS 2582,#aa47ba,"(170, 71, 186)",170,71,186
234,PMS 2592,#930fa5,"(147, 15, 165)",147,15,165
235,PMS 2602,#820c8e,"(130, 12, 142)",130,12,142
236,PMS 2612,#701e72,"(112, 30, 114)",112,30,114
237,PMS 2622,#602d59,"(96, 45, 89)",96,45,89
238,PMS 2563,#d1a0cc,"(209, 160, 204)",209,160,204
239,PMS 2573,#ba7cbc,"(186, 124, 188)",186,124,188
240,PMS 2583,#9e4fa5,"(158, 79, 165)",158,79,165
241,PMS 2593,#872b93,"(135, 43, 147)",135,43,147
242,PMS 2603,#70147a,"(112, 20, 122)",112,20,122
243,PMS 2613,#66116d,"(102, 17, 109)",102,17,109
244,PMS 2623,#5b195e,"(91, 25, 94)",91,25,94
245,PMS 2567,#bf93cc,"(191, 147, 204)",191,147,204
246,PMS 2577,#aa72bf,"(170, 114, 191)",170,114,191
247,PMS 2587,#8e47ad,"(142, 71, 173)",142,71,173
248,PMS 2597,#66008c,"(102, 0, 140)",102,0,140
249,PMS 2607,#5b027a,"(91, 2, 122)",91,2,122
250,PMS 2617,#560c70,"(86, 12, 112)",86,12,112
251,PMS 2627,#4c145e,"(76, 20, 94)",76,20,94
252,PMS 263,#e0cee0,"(224, 206, 224)",224,206,224
253,PMS 264,#c6aadb,"(198, 170, 219)",198,170,219
254,PMS 265,#9663c4,"(150, 99, 196)",150,99,196
255,PMS 266,#6d28aa,"(109, 40, 170)",109,40,170
256,PMS 267,#59118e,"(89, 17, 142)",89,17,142
257,PMS 268,#4f2170,"(79, 33, 112)",79,33,112
258,PMS 269,#442359,"(68, 35, 89)",68,35,89
259,PMS 2635,#c9add8,"(201, 173, 216)",201,173,216
260,PMS 2645,#b591d1,"(181, 145, 209)",181,145,209
261,PMS 2655,#9b6dc6,"(155, 109, 198)",155,109,198
262,PMS 2665,#894fbf,"(137, 79, 191)",137,79,191
263,Violet,#6607a5,"(102, 7, 165)",102,7,165
264,PMS 2685,#56008c,"(86, 0, 140)",86,0,140
265,PMS 2695,#44235e,"(68, 35, 94)",68,35,94
266,PMS 270,#baafd3,"(186, 175, 211)",186,175,211
267,PMS 271,#9e91c6,"(158, 145, 198)",158,145,198
268,PMS 272,#8977ba,"(137, 119, 186)",137,119,186
269,PMS 273,#38197a,"(56, 25, 122)",56,25,122
270,PMS 274,#2b1166,"(43, 17, 102)",43,17,102
271,PMS 275,#260f54,"(38, 15, 84)",38,15,84
272,PMS 276,#2b2147,"(43, 33, 71)",43,33,71
273,PMS 2705,#ad9ed3,"(173, 158, 211)",173,158,211
274,PMS 2715,#937acc,"(147, 122, 204)",147,122,204
275,PMS 2725,#7251bc,"(114, 81, 188)",114,81,188
276,PMS 2735,#4f0093,"(79, 0, 147)",79,0,147
277,PMS 2745,#3f0077,"(63, 0, 119)",63,0,119
278,PMS 2755,#35006d,"(53, 0, 109)",53,0,109
279,PMS 2765,#2b0c56,"(43, 12, 86)",43,12,86
280,PMS 2706,#d1cedd,"(209, 206, 221)",209,206,221
281,PMS 2716,#a5a0d6,"(165, 160, 214)",165,160,214
282,PMS 2726,#6656bc,"(102, 86, 188)",102,86,188
283,PMS 2736,#4930ad,"(73, 48, 173)",73,48,173
284,PMS 2746,#3f2893,"(63, 40, 147)",63,40,147
285,PMS 2756,#332875,"(51, 40, 117)",51,40,117
286,PMS 2766,#2b265b,"(43, 38, 91)",43,38,91
287,PMS 2707,#bfd1e5,"(191, 209, 229)",191,209,229
288,PMS 2717,#a5bae0,"(165, 186, 224)",165,186,224
289,PMS 2727,#5e68c4,"(94, 104, 196)",94,104,196
290,Blue 072,#380096,"(56, 0, 150)",56,0,150
291,PMS 2747,#1c146b,"(28, 20, 107)",28,20,107
292,PMS 2757,#141654,"(20, 22, 84)",20,22,84
293,PMS 2767,#14213d,"(20, 33, 61)",20,33,61
294,PMS 2708,#afbcdb,"(175, 188, 219)",175,188,219
295,PMS 2718,#5b77cc,"(91, 119, 204)",91,119,204
296,PMS 2728,#3044b5,"(48, 68, 181)",48,68,181
297,PMS 2738,#2d008e,"(45, 0, 142)",45,0,142
298,PMS 2748,#1e1c77,"(30, 28, 119)",30,28,119
299,PMS 2758,#192168,"(25, 33, 104)",25,33,104
300,PMS 2768,#112151,"(17, 33, 81)",17,33,81
301,PMS 277,#b5d1e8,"(181, 209, 232)",181,209,232
302,PMS 278,#99badd,"(153, 186, 221)",153,186,221
303,PMS 279,#6689cc,"(102, 137, 204)",102,137,204
304,Reflex Blue,#0c1c8c,"(12, 28, 140)",12,28,140
305,PMS 280,#002b7f,"(0, 43, 127)",0,43,127
306,PMS 281,#002868,"(0, 40, 104)",0,40,104
307,PMS 282,#002654,"(0, 38, 84)",0,38,84
308,PMS 283,#9bc4e2,"(155, 196, 226)",155,196,226
309,PMS 284,#75aadb,"(117, 170, 219)",117,170,219
310,PMS 285,#3a75c4,"(58, 117, 196)",58,117,196
311,PMS 286,#0038a8,"(0, 56, 168)",0,56,168
312,PMS 287,#003893,"(0, 56, 147)",0,56,147
313,PMS 288,#00337f,"(0, 51, 127)",0,51,127
314,PMS 289,#002649,"(0, 38, 73)",0,38,73
315,PMS 290,#c4d8e2,"(196, 216, 226)",196,216,226
316,PMS 291,#a8cee2,"(168, 206, 226)",168,206,226
317,PMS 292,#75b2dd,"(117, 178, 221)",117,178,221
318,PMS 293,#0051ba,"(0, 81, 186)",0,81,186
319,PMS 294,#003f87,"(0, 63, 135)",0,63,135
320,PMS 295,#00386b,"(0, 56, 107)",0,56,107
321,PMS 296,#002d47,"(0, 45, 71)",0,45,71
322,PMS 2905,#93c6e0,"(147, 198, 224)",147,198,224
323,PMS 2915,#60afdd,"(96, 175, 221)",96,175,221
324,PMS 2925,#008ed6,"(0, 142, 214)",0,142,214
325,PMS 2935,#005bbf,"(0, 91, 191)",0,91,191
326,PMS 2945,#0054a0,"(0, 84, 160)",0,84,160
327,PMS 2955,#003d6b,"(0, 61, 107)",0,61,107
328,PMS 2965,#00334c,"(0, 51, 76)",0,51,76
329,PMS 297,#82c6e2,"(130, 198, 226)",130,198,226
330,PMS 298,#51b5e0,"(81, 181, 224)",81,181,224
331,PMS 299,#00a3dd,"(0, 163, 221)",0,163,221
332,PMS 300,#0072c6,"(0, 114, 198)",0,114,198
333,PMS 301,#005b99,"(0, 91, 153)",0,91,153
334,PMS 302,#004f6d,"(0, 79, 109)",0,79,109
335,PMS 303,#003f54,"(0, 63, 84)",0,63,84
336,PMS 2975,#bae0e2,"(186, 224, 226)",186,224,226
337,PMS 2985,#51bfe2,"(81, 191, 226)",81,191,226
338,PMS 2995,#00a5db,"(0, 165, 219)",0,165,219
339,PMS 3005,#0084c9,"(0, 132, 201)",0,132,201
340,PMS 3015,#00709e,"(0, 112, 158)",0,112,158
341,PMS 3025,#00546b,"(0, 84, 107)",0,84,107
342,PMS 3035,#004454,"(0, 68, 84)",0,68,84
343,PMS 304,#a5dde2,"(165, 221, 226)",165,221,226
344,PMS 305,#70cee2,"(112, 206, 226)",112,206,226
345,PMS 306,#00bce2,"(0, 188, 226)",0,188,226
346,Process Blue,#0091c9,"(0, 145, 201)",0,145,201
347,PMS 307,#007aa5,"(0, 122, 165)",0,122,165
348,PMS 308,#00607c,"(0, 96, 124)",0,96,124
349,PMS 309,#003f49,"(0, 63, 73)",0,63,73
350,PMS 310,#72d1dd,"(114, 209, 221)",114,209,221
351,PMS 311,#28c4d8,"(40, 196, 216)",40,196,216
352,PMS 312,#00adc6,"(0, 173, 198)",0,173,198
353,PMS 313,#0099b5,"(0, 153, 181)",0,153,181
354,PMS 314,#00829b,"(0, 130, 155)",0,130,155
355,PMS 315,#006b77,"(0, 107, 119)",0,107,119
356,PMS 316,#00494f,"(0, 73, 79)",0,73,79
357,PMS 3105,#7fd6db,"(127, 214, 219)",127,214,219
358,PMS 3115,#2dc6d6,"(45, 198, 214)",45,198,214
359,PMS 3125,#00b7c6,"(0, 183, 198)",0,183,198
360,PMS 3135,#009baa,"(0, 155, 170)",0,155,170
361,PMS 3145,#00848e,"(0, 132, 142)",0,132,142
362,PMS 3155,#006d75,"(0, 109, 117)",0,109,117
363,PMS 3165,#00565b,"(0, 86, 91)",0,86,91
364,PMS 317,#c9e8dd,"(201, 232, 221)",201,232,221
365,PMS 318,#93dddb,"(147, 221, 219)",147,221,219
366,PMS 319,#4cced1,"(76, 206, 209)",76,206,209
367,PMS 320,#009ea0,"(0, 158, 160)",0,158,160
368,PMS 321,#008789,"(0, 135, 137)",0,135,137
369,PMS 322,#007272,"(0, 114, 114)",0,114,114
370,PMS 323,#006663,"(0, 102, 99)",0,102,99
371,PMS 324,#aaddd6,"(170, 221, 214)",170,221,214
372,PMS 325,#56c9c1,"(86, 201, 193)",86,201,193
373,PMS 326,#00b2aa,"(0, 178, 170)",0,178,170
374,PMS 327,#008c82,"(0, 140, 130)",0,140,130
375,PMS 328,#007770,"(0, 119, 112)",0,119,112
376,PMS 329,#006d66,"(0, 109, 102)",0,109,102
377,PMS 330,#005951,"(0, 89, 81)",0,89,81
378,PMS 3242,#87ddd1,"(135, 221, 209)",135,221,209
379,PMS 3252,#56d6c9,"(86, 214, 201)",86,214,201
380,PMS 3262,#00c1b5,"(0, 193, 181)",0,193,181
381,PMS 3272,#00aa9e,"(0, 170, 158)",0,170,158
382,PMS 3282,#008c82,"(0, 140, 130)",0,140,130
383,PMS 3292,#006056,"(0, 96, 86)",0,96,86
384,PMS 3302,#00493f,"(0, 73, 63)",0,73,63
385,PMS 3245,#8ce0d1,"(140, 224, 209)",140,224,209
386,PMS 3255,#47d6c1,"(71, 214, 193)",71,214,193
387,PMS 3265,#00c6b2,"(0, 198, 178)",0,198,178
388,PMS 3275,#00b2a0,"(0, 178, 160)",0,178,160
389,PMS 3285,#009987,"(0, 153, 135)",0,153,135
390,PMS 3295,#008272,"(0, 130, 114)",0,130,114
391,PMS 3305,#004f42,"(0, 79, 66)",0,79,66
392,PMS 3248,#7ad3c1,"(122, 211, 193)",122,211,193
393,PMS 3258,#35c4af,"(53, 196, 175)",53,196,175
394,PMS 3268,#00af99,"(0, 175, 153)",0,175,153
395,PMS 3278,#009b84,"(0, 155, 132)",0,155,132
396,PMS 3288,#008270,"(0, 130, 112)",0,130,112
397,PMS 3298,#006b5b,"(0, 107, 91)",0,107,91
398,PMS 3308,#004438,"(0, 68, 56)",0,68,56
399,PMS 331,#baead6,"(186, 234, 214)",186,234,214
400,PMS 332,#a0e5ce,"(160, 229, 206)",160,229,206
401,PMS 333,#5eddc1,"(94, 221, 193)",94,221,193
402,Green,#00af93,"(0, 175, 147)",0,175,147
403,PMS 334,#00997c,"(0, 153, 124)",0,153,124
404,PMS 335,#007c66,"(0, 124, 102)",0,124,102
405,PMS 336,#006854,"(0, 104, 84)",0,104,84
406,PMS 337,#9bdbc1,"(155, 219, 193)",155,219,193
407,PMS 338,#7ad1b5,"(122, 209, 181)",122,209,181
408,PMS 339,#00b28c,"(0, 178, 140)",0,178,140
409,PMS 340,#009977,"(0, 153, 119)",0,153,119
410,PMS 341,#007a5e,"(0, 122, 94)",0,122,94
411,PMS 342,#006b54,"(0, 107, 84)",0,107,84
412,PMS 343,#00563f,"(0, 86, 63)",0,86,63
413,PMS 3375,#8ee2bc,"(142, 226, 188)",142,226,188
414,PMS 3385,#54d8a8,"(84, 216, 168)",84,216,168
415,PMS 3395,#00c993,"(0, 201, 147)",0,201,147
416,PMS 3405,#00b27a,"(0, 178, 122)",0,178,122
417,PMS 3415,#007c59,"(0, 124, 89)",0,124,89
418,PMS 3425,#006847,"(0, 104, 71)",0,104,71
419,PMS 3435,#024930,"(2, 73, 48)",2,73,48
420,PMS 344,#b5e2bf,"(181, 226, 191)",181,226,191
421,PMS 345,#96d8af,"(150, 216, 175)",150,216,175
422,PMS 346,#70ce9b,"(112, 206, 155)",112,206,155
423,PMS 347,#009e60,"(0, 158, 96)",0,158,96
424,PMS 348,#008751,"(0, 135, 81)",0,135,81
425,PMS 349,#006b3f,"(0, 107, 63)",0,107,63
426,PMS 350,#234f33,"(35, 79, 51)",35,79,51
427,PMS 351,#b5e8bf,"(181, 232, 191)",181,232,191
428,PMS 352,#99e5b2,"(153, 229, 178)",153,229,178
429,PMS 353,#84e2a8,"(132, 226, 168)",132,226,168
430,PMS 354,#00b760,"(0, 183, 96)",0,183,96
431,PMS 355,#009e49,"(0, 158, 73)",0,158,73
432,PMS 356,#007a3d,"(0, 122, 61)",0,122,61
433,PMS 357,#215b33,"(33, 91, 51)",33,91,51
434,PMS 358,#aadd96,"(170, 221, 150)",170,221,150
435,PMS 359,#a0db8e,"(160, 219, 142)",160,219,142
436,PMS 360,#60c659,"(96, 198, 89)",96,198,89
437,PMS 361,#1eb53a,"(30, 181, 58)",30,181,58
438,PMS 362,#339e35,"(51, 158, 53)",51,158,53
439,PMS 363,#3d8e33,"(61, 142, 51)",61,142,51
440,PMS 364,#3a7728,"(58, 119, 40)",58,119,40
441,PMS 365,#d3e8a3,"(211, 232, 163)",211,232,163
